BotName	SettingName	SettingJson	GameWord	TotalGuessesMade	LatestGameState	GameResult
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	10	{"current_state": "_ _ R O _", "guesses_left": 0, "correct_guesses": ["R", "O"], "incorrect_guesses": ["D", "F", "I", "M", "P", "B", "G", "J"], "game_word": {"game_word": "AARON"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	9	{"current_state": "A A R O N", "guesses_left": 1, "correct_guesses": ["A", "O", "N", "R"], "incorrect_guesses": ["E", "T", "I", "S", "H"], "game_word": {"game_word": "AARON"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AALII"}	10	{"current_state": "_ _ _ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["T", "K", "Y", "R", "J", "V", "B", "O", "C", "F"], "game_word": {"game_word": "AALII"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AALII"}	10	{"current_state": "A A _ I I", "guesses_left": 0, "correct_guesses": ["A", "I"], "incorrect_guesses": ["E", "T", "O", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AALII"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAL"}	3	{"current_state": "A A L", "guesses_left": 17, "correct_guesses": ["A", "L"], "incorrect_guesses": ["M"], "game_word": {"game_word": "AAL"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAL"}	11	{"current_state": "A A L", "guesses_left": 9, "correct_guesses": ["A", "L"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAL"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ V _ R _", "guesses_left": 0, "correct_guesses": ["V", "R"], "incorrect_guesses": ["W", "Z", "S", "T", "H", "E", "Q", "P"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "_ _ N I", "guesses_left": 0, "correct_guesses": ["N", "I"], "incorrect_guesses": ["L", "O", "Z", "B", "D", "T", "W", "U"], "game_word": {"game_word": "AANI"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	6	{"current_state": "A A N I", "guesses_left": 4, "correct_guesses": ["A", "I", "N"], "incorrect_guesses": ["E", "T", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "A"}	10	{"current_state": "_", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["F", "O", "X", "B", "C", "G", "I", "D", "M", "T"], "game_word": {"game_word": "A"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "A"}	3	{"current_state": "A", "guesses_left": 7, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "A"}}	win
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAM"}	18	{"current_state": "A A M", "guesses_left": 2, "correct_guesses": ["M", "A"], "incorrect_guesses": ["W", "J", "K", "C", "Q", "R", "I", "B", "Z", "G", "N", "L", "H", "V", "D", "Y"], "game_word": {"game_word": "AAM"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAM"}	14	{"current_state": "A A M", "guesses_left": 6, "correct_guesses": ["A", "M"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D", "L", "U", "W"], "game_word": {"game_word": "AAM"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A _ D _ A _ K", "guesses_left": 0, "correct_guesses": ["K", "A", "D"], "incorrect_guesses": ["L", "I", "Q", "C", "X", "G", "W"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	5	{"current_state": "A A M", "guesses_left": 5, "correct_guesses": ["A", "M"], "incorrect_guesses": ["K", "S", "J"], "game_word": {"game_word": "AAM"}}	win
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAL"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["N", "V", "B", "X", "H", "Y", "I", "P", "C"], "game_word": {"game_word": "AAL"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAL"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAL"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "A"}	14	{"current_state": "A", "guesses_left": 6, "correct_guesses": ["A"], "incorrect_guesses": ["J", "C", "P", "F", "W", "U", "K", "B", "N", "Z", "R", "I", "X"], "game_word": {"game_word": "A"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "A"}	3	{"current_state": "A", "guesses_left": 17, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "A"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R _ _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R"], "incorrect_guesses": ["E", "U", "F", "Y", "T", "G", "W", "L"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ _ D V _ _ K", "guesses_left": 0, "correct_guesses": ["V", "D", "K"], "incorrect_guesses": ["I", "M", "P", "Q", "C", "X", "N"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "A A _ _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["T", "V", "K", "X", "Y", "G", "Z", "D", "R"], "game_word": {"game_word": "AANI"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	6	{"current_state": "A A N I", "guesses_left": 4, "correct_guesses": ["A", "I", "N"], "incorrect_guesses": ["E", "T", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AARON"}	20	{"current_state": "_ _ R _ N", "guesses_left": 0, "correct_guesses": ["R", "N"], "incorrect_guesses": ["H", "G", "J", "Y", "D", "K", "B", "E", "I", "P", "F", "U", "M", "W", "V", "Q", "X", "L"], "game_word": {"game_word": "AARON"}}	lose
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AARON"}	9	{"current_state": "A A R O N", "guesses_left": 11, "correct_guesses": ["A", "O", "N", "R"], "incorrect_guesses": ["E", "T", "I", "S", "H"], "game_word": {"game_word": "AARON"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ _ D _ _ _ F", "guesses_left": 0, "correct_guesses": ["F", "D"], "incorrect_guesses": ["J", "U", "G", "Z", "S", "Q", "M", "C"], "game_word": {"game_word": "AARDWOLF"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "A A R D _ O _ _", "guesses_left": 0, "correct_guesses": ["A", "O", "R", "D"], "incorrect_guesses": ["E", "T", "I", "N", "S", "H"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R D _ _ R K", "guesses_left": 0, "correct_guesses": ["D", "K", "R"], "incorrect_guesses": ["W", "Z", "J", "N", "B", "X", "M"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAL"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["F", "P", "R", "U", "N", "I", "Q", "J", "E"], "game_word": {"game_word": "AAL"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAL"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAL"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AANI"}	20	{"current_state": "A A N _", "guesses_left": 0, "correct_guesses": ["A", "N"], "incorrect_guesses": ["K", "C", "W", "U", "X", "T", "G", "B", "S", "F", "O", "Y", "Z", "L", "R", "M", "P", "J"], "game_word": {"game_word": "AANI"}}	lose
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AANI"}	6	{"current_state": "A A N I", "guesses_left": 14, "correct_guesses": ["A", "I", "N"], "incorrect_guesses": ["E", "T", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ _ _ _ _ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["Z", "E", "S", "M", "I", "O", "U", "Y", "J", "Q"], "game_word": {"game_word": "AARDVARK"}}	lose
