BotName	SettingName	SettingJson	GameWord	TotalGuessesMade	LatestGameState	GameResult
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ _ _ W _ L _", "guesses_left": 0, "correct_guesses": ["L", "W"], "incorrect_guesses": ["M", "G", "J", "P", "Z", "X", "V", "H"], "game_word": {"game_word": "AARDWOLF"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "A A R D _ O _ _", "guesses_left": 0, "correct_guesses": ["A", "O", "R", "D"], "incorrect_guesses": ["E", "T", "I", "N", "S", "H"], "game_word": {"game_word": "AARDWOLF"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	9	{"current_state": "A A M", "guesses_left": 1, "correct_guesses": ["M", "A"], "incorrect_guesses": ["D", "R", "V", "C", "U", "E", "J"], "game_word": {"game_word": "AAM"}}	win
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	18	{"current_state": "A A", "guesses_left": 2, "correct_guesses": ["A"], "incorrect_guesses": ["J", "X", "C", "T", "Y", "M", "V", "P", "D", "N", "F", "S", "E", "H", "B", "Q", "Z"], "game_word": {"game_word": "AA"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 17, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ R _ _ _ L F", "guesses_left": 0, "correct_guesses": ["R", "F", "L"], "incorrect_guesses": ["T", "U", "Q", "I", "V", "Z", "X"], "game_word": {"game_word": "AARDWOLF"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "A A R D _ O _ _", "guesses_left": 0, "correct_guesses": ["A", "O", "R", "D"], "incorrect_guesses": ["E", "T", "I", "N", "S", "H"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	10	{"current_state": "A A R _ _", "guesses_left": 0, "correct_guesses": ["A", "R"], "incorrect_guesses": ["H", "V", "T", "P", "B", "M", "J", "I"], "game_word": {"game_word": "AARON"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	9	{"current_state": "A A R O N", "guesses_left": 1, "correct_guesses": ["A", "O", "N", "R"], "incorrect_guesses": ["E", "T", "I", "S", "H"], "game_word": {"game_word": "AARON"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A M", "guesses_left": 0, "correct_guesses": ["M", "A"], "incorrect_guesses": ["P", "O", "N", "H", "T", "E", "Z", "F"], "game_word": {"game_word": "AAM"}}	win
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	15	{"current_state": "A A", "guesses_left": 5, "correct_guesses": ["A"], "incorrect_guesses": ["T", "K", "G", "C", "V", "B", "Z", "D", "N", "S", "M", "W", "L", "O"], "game_word": {"game_word": "AA"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 17, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ R D W _ L F", "guesses_left": 0, "correct_guesses": ["R", "F", "L", "W", "D"], "incorrect_guesses": ["I", "M", "Q", "K", "U"], "game_word": {"game_word": "AARDWOLF"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "A A R D _ O _ _", "guesses_left": 0, "correct_guesses": ["A", "O", "R", "D"], "incorrect_guesses": ["E", "T", "I", "N", "S", "H"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "_ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["F", "N", "Z", "L", "D", "X", "J", "U", "R", "E"], "game_word": {"game_word": "AAM"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "_ _ M", "guesses_left": 0, "correct_guesses": ["M"], "incorrect_guesses": ["O", "G", "T", "I", "B", "N", "L", "J", "K"], "game_word": {"game_word": "AAM"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AALII"}	19	{"current_state": "A A L I I", "guesses_left": 1, "correct_guesses": ["A", "L", "I"], "incorrect_guesses": ["N", "B", "S", "D", "O", "W", "T", "V", "U", "H", "X", "F", "R", "G", "Q", "C"], "game_word": {"game_word": "AALII"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AALII"}	11	{"current_state": "A A L I I", "guesses_left": 9, "correct_guesses": ["A", "I", "L"], "incorrect_guesses": ["E", "T", "O", "N", "S", "H", "R", "D"], "game_word": {"game_word": "AALII"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R D _ _ R _", "guesses_left": 0, "correct_guesses": ["R", "D"], "incorrect_guesses": ["Z", "I", "S", "O", "H", "M", "Y", "T"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "A"}	8	{"current_state": "A", "guesses_left": 2, "correct_guesses": ["A"], "incorrect_guesses": ["D", "I", "Z", "Q", "C", "H", "U"], "game_word": {"game_word": "A"}}	win
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "A"}	3	{"current_state": "A", "guesses_left": 7, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "A"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "_ _ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["F", "C", "U", "Z", "Y", "L", "G", "X", "M", "D"], "game_word": {"game_word": "AANI"}}	lose
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	6	{"current_state": "A A N I", "guesses_left": 4, "correct_guesses": ["A", "I", "N"], "incorrect_guesses": ["E", "T", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AANI"}	14	{"current_state": "A A N I", "guesses_left": 6, "correct_guesses": ["N", "A", "I"], "incorrect_guesses": ["U", "G", "E", "P", "C", "T", "R", "H", "X", "W", "J"], "game_word": {"game_word": "AANI"}}	win
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AANI"}	6	{"current_state": "A A N I", "guesses_left": 14, "correct_guesses": ["A", "I", "N"], "incorrect_guesses": ["E", "T", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ _ _ _ _ _ F", "guesses_left": 0, "correct_guesses": ["F"], "incorrect_guesses": ["X", "V", "Y", "E", "T", "C", "N", "K", "Z"], "game_word": {"game_word": "AARDWOLF"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "A A R D _ O _ _", "guesses_left": 0, "correct_guesses": ["A", "O", "R", "D"], "incorrect_guesses": ["E", "T", "I", "N", "S", "H"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	10	{"current_state": "_ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["Y", "T", "U", "S", "I", "P", "E", "L", "V", "B"], "game_word": {"game_word": "AA"}}	lose
NaiveFreqBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 7, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	7	{"current_state": "A A", "guesses_left": 3, "correct_guesses": ["A"], "incorrect_guesses": ["M", "V", "T", "U", "P", "H"], "game_word": {"game_word": "AA"}}	win
NaiveFreqBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 7, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	20	{"current_state": "_ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["T", "R", "P", "W", "Q", "V", "N", "F", "Y", "M", "C", "I", "Z", "H", "S", "X", "B", "G", "O", "K"], "game_word": {"game_word": "AA"}}	lose
NaiveFreqBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	3	{"current_state": "A A", "guesses_left": 17, "correct_guesses": ["A"], "incorrect_guesses": ["E", "T"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ V _ R K", "guesses_left": 0, "correct_guesses": ["V", "R", "K"], "incorrect_guesses": ["H", "P", "Y", "J", "U", "O", "F"], "game_word": {"game_word": "AARDVARK"}}	lose
NaiveFreqBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R D _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R", "D"], "incorrect_guesses": ["E", "T", "O", "I", "N", "S", "H"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
